"Estacion" "Codigo" "Termino" "Longitud" "Latitud" "Altitud" "XUTM" "YUTM" "Huso" "Fecha_Instalacion" "Fecha_Baja"
"134" "Santaella" "CO07" "Santaella" "045307000W" "373120000N" 196 333382 4154500 30 "2000-10-17T00:00:00" NA
"135" "Baena" "CO08" "Baena" "041821000W" "374129000N" 310 384851 4172400 30 "2000-10-17T00:00:00" NA
"136" "Palma del Rio" "CO09" "Palma del Río" "051337000W" "374332000N" 58 303720 4177720 30 "2007-03-15T00:00:00" NA
"137" "IFAPA Centro de Cabra" "CO101" "Cabra" "042551000W" "372953000N" 543 373516 4151100 30 "2003-12-11T00:00:00" NA
"138" "IFAPA Centro de Hinojosa del Duque" "CO102" "Hinojosa del Duque" "050655000W" "382946000N" 543 315518 4263000 30 "2006-08-04T00:00:00" NA
"139" "Alcázar de San Juan" "CR01" "Alcázar de San Juan" "031200000W" "391236000N" 652 482729 4340120 30 "1999-09-14T00:00:00" NA
"140" "Manzanares" "CR02" "Manzanares" "032131000W" "390555000N" 648 468984 4327790 30 "1999-09-15T00:00:00" "2008-11-12T00:00:00"
"141" "Porzuna" "CR03" "Porzuna" "041350000W" "391403000N" 610 393782 4343510 30 "1999-09-15T00:00:00" NA
"142" "Ciudad Real" "CR04" "Ciudad Real" "035922000W" "390232000N" 619 414362 4321940 30 "1999-09-15T00:00:00" NA
"143" "Bolaños" "CR05" "Bolaños de Calatrava" "033717000W" "385657000N" 641 446145 4311320 30 "2000-09-19T00:00:00" NA
"144" "Villahermosa-Tajoneras" "CR06" "Villahermosa" "024758000W" "385016000N" 966 517384 4298800 30 "2000-09-19T00:00:00" "2008-10-28T00:00:00"
"145" "Argamasilla de Alba" "CR07" "Argamasilla de Alba" "030327000W" "390434000N" 702 495018 4325230 30 "2000-10-23T00:00:00" NA
"146" "Herencia" "CR08" "Herencia" "031949000W" "392244000N" 641 471540 4358890 30 "2000-10-24T00:00:00" NA
"147" "Daimiel" "CR09" "Daimiel" "034134000W" "390030000N" 631 440016 4317940 30 "2000-11-20T00:00:00" NA
"148" "Manzanares" "CR10" "Manzanares" "032113000W" "390722000N" 646 469428 4330470 30 "2008-11-14T00:00:00" NA
"149" "Entresierra" "CR101" "Ciudad Real" "035654000W" "390151000N" 623 417916 4320630 30 "2004-05-11T00:00:00" "2022-01-07T00:00:00"
"150" "Montiel" "CR11" "Montiel" "025253000W" "384149000N" 883 510308 4283170 30 "2008-10-30T00:00:00" NA
"151" "Vall d'Uixó" "CS01" "Vall d'Uixó, la" "001349000W" "394745000N" 105 737127 4408770 30 "1999-10-14T00:00:00" NA
"152" "Onda" "CS02" "Onda" "001439000W" "395714000N" 158 735390 4426290 30 "1999-10-19T00:00:00" "2001-10-29T00:00:00"
"153" "San Rafael del Río" "CS03" "San Rafael del Río" "002203000E" "403538000N" 217 784970 4499150 31 "1999-11-02T00:00:00" NA
"154" "Benicarló" "CS04" "Benicarló" "002405000E" "402441000N" 12 788624 4478990 31 "1999-11-03T00:00:00" "2017-04-19T00:00:00"
"155" "Castelló Benadresa" "CS05" "Castellón de la Plana/Castelló de la Plana" "000708000W" "395921000N" 85 745965 4430550 30 "2001-01-16T00:00:00" NA
